State,International plan,Voice mail plan,state_numeric,Area code,Account length,International plan_numeric,Voice mail plan numeric,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Tota all miniutes,Total all calls,Total all charges,Customer service calls,churn_numeric,Churn
KS,No,Yes,1,415,128,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,717.2,303,75.56,1,0,FALSE
OH,No,Yes,2,415,107,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,625.2,332,59.24,1,0,FALSE
NJ,No,No,3,415,137,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,539.4,333,62.29,0,0,FALSE
OH,Yes,No,2,408,84,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,564.8,255,66.8,2,0,FALSE
OK,Yes,No,4,415,75,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,512,359,52.09,3,0,FALSE
AL,Yes,No,5,510,118,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,654.2,323,67.61,0,0,FALSE
MA,No,Yes,6,510,121,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,786.8,321,78.31,3,0,FALSE
MO,Yes,No,7,415,147,1,0,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,479,275,46.9,0,0,FALSE
WV,Yes,Yes,8,415,141,1,1,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,818.2,297,80.54,0,0,FALSE
RI,No,No,9,415,74,0,0,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,556.2,374,57.08,0,0,FALSE
IA,No,No,10,408,168,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,386,297,40.19,1,0,FALSE
MT,No,No,11,510,95,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,608.8,283,59.64,3,0,FALSE
IA,No,No,10,415,62,0,0,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,644,251,59.31,4,0,FALSE
ID,No,Yes,12,408,85,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,580.4,308,65.02,1,0,FALSE
VT,No,No,13,510,93,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,546.6,349,58.99,3,0,FALSE
VA,No,Yes,14,510,76,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,578.2,244,60.5,1,0,FALSE
TX,No,No,15,415,73,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,589.7,254,63.9,1,0,FALSE
FL,No,No,16,415,147,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,614.2,347,59,0,0,FALSE
CO,No,No,17,408,77,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,447.6,280,36.02,5,1,TRUE
AZ,No,No,18,415,130,0,0,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,447.2,308,48.06,0,0,FALSE
VA,No,No,14,510,132,0,0,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,573.6,275,48.08,0,0,FALSE
NE,No,No,19,415,174,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,667.6,308,60.15,3,0,FALSE
WY,No,Yes,20,408,57,0,1,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,596.3,345,63.24,0,0,FALSE
MT,No,No,11,408,54,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,406.6,245,44.61,3,0,FALSE
MO,No,No,7,415,20,0,0,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,636,301,64.12,0,0,FALSE
IL,No,No,21,415,142,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,486.2,312,41.14,2,0,FALSE
NH,No,No,22,510,75,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,684.1,315,69.43,1,0,FALSE
LA,No,No,23,408,172,0,0,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,549.1,324,55.29,3,0,FALSE
AZ,No,No,18,408,12,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,794,330,79.68,1,1,TRUE
OK,No,Yes,4,408,57,0,1,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,593.6,289,58.49,0,0,FALSE
GA,No,Yes,24,415,72,0,1,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,604.8,259,66.72,3,0,FALSE
MA,No,No,6,415,78,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,592.3,293,54.2,1,0,FALSE
AK,Yes,Yes,25,415,136,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,503.7,318,58.03,3,0,FALSE
NJ,No,No,3,408,149,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,611.6,303,58.44,1,0,FALSE
GA,No,No,24,408,98,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,490.3,324,46.64,3,0,FALSE
MD,Yes,Yes,26,408,135,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,513.8,285,56.2,0,1,TRUE
AR,No,No,27,510,34,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,728.5,262,61.93,2,0,FALSE
ID,No,No,12,415,160,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,438.8,283,39.15,3,0,FALSE
WI,No,No,28,510,64,0,0,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,648.6,274,58.26,1,0,FALSE
